Country Name,country_code,Indicator Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Burundi,BDI,Real interest rate (%),-3.766860947,19.22924479,5.98831967,5.234921701,-4.450063398,6.596780826,16.98033754,15.96339107,8.221738112,-2.402625011,5.997142472,8.348477599,7.833429517,5.591120353,7.090833434,-0.727268465,9.53,9.51,3.543673658,0.245048218,-16.67919754,2.732903688,18.25203631,5.614402302,4.514521187,-0.3337127,13.83318731,7.915114947,-6.194835556,3.274559064,3.554157242,4.492489472,0.024113859,6.662044587,9.841407506,-4.949044593
Belgium,BEL,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Benin,BEN,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,3.596098155,2.588145618,4.344562975,-1.362331084,2.377428574,4.195490191,1.468030817,-2.46960852,3.836592954,5.599991796,4.266334386
Burkina Faso,BFA,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.944070101,5.435521584,2.204376718,-3.82524863,2.511578975,1.285141169,-1.388528991,-0.741639727,7.5780202,5.995918151,7.545939073
Bangladesh,BGD,Real interest rate (%),-5.988132182,1.1279848,1.16377388,2.439473298,3.020813216,-6.211926915,4.374505694,3.353217679,6.837361623,6.006888297,7.803215576,11.71898735,11.05035713,13.74096927,9.125764687,5.455284559,-5.16455193,8.853321042,7.82564811,8.978643048,8.998203237,9.256955719,8.389699358,5.88445428,5.582355611,5.764269121,5.466993804,5.789111438,4.661742572,6.146538327,4.736123572,5.064197684,5.343332657,5.988693908,6.885866275,5.512644316
Bulgaria,BGR,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,9.068475394,17.0524852,17.26117482,-23.99027836,139.963569,-69.10631682,-14.83203928,9.852285589,3.690165321,4.705179305,5.160852872,6.217817019,3.115853177,1.93887822,2.000860545,-0.945548523,2.554031351,7.116714248,10.30140648,4.256292142,8.50745698,8.96499493,6.830324565,4.373211831
Bahrain,BHR,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,31.89907888,6.796161531,5.676506993,4.267214334,3.419726616,11.47487059,15.81804425,14.29430179,3.150137647,10.49670309,12.0998222,11.16094554,20.28486313,8.842683583,-14.14585643,14.54559467,4.827361494,-0.283027354,-2.781093221,-5.199029249,-0.796745563,-0.156120282,-2.821019814,24.06196772,-0.180215876,-2.684533731,2.93184586,5.529618512,7.667328425,15.88629145
"Bahamas, The",BHS,Real interest rate (%),0.751287394,-5.683085006,7.04469061,4.739740264,7.58791859,1.72652926,4.385243645,2.264504228,7.405764801,7.058839804,3.736699613,6.28283715,4.020735797,8.381727713,4.591386264,5.900219275,5.709560438,-34.97680561,-5.529743924,6.137344746,5.031693984,5.626102491,1.961544767,4.790218817,4.748641289,0.461484356,4.633698786,2.479595861,3.952701096,6.604411519,5.915500481,5.972609325,1.435800324,3.169863795,0.91297305,-0.276312359
Bosnia and Herzegovina,BIH,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,7.321325063,9.327539453,7.947864838,3.223953194,0.198552078,0.918034612,-0.332619207,7.732691902,6.392147312,4.88042107,6.481564841,7.276478174,5.58529964,4.363566365
Belarus,BLR,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,-89.29939147,-85.1883272,-87.85285742,-63.88725834,5.607158533,-23.215656,-28.0828261,-63.7610255,-41.22954902,-18.14018627,-5.52846907,-5.134717064,-4.700862736,-6.399671342,-1.721871615,-3.807565698,-10.44729539,2.211575835,-1.863419192,-33.59694663,-31.8270994,-1.751616071,0.538935444,1.776241389
Belize,BLZ,Real interest rate (%),-2.63,2.5,23.19034589,6.358700079,4.708178062,16.69811016,10.06628384,4.161403211,9.478786405,11.48634065,13.84486741,17.99408388,9.860686364,12.50849516,10.79098242,9.089286522,14.05777949,18.03657096,14.79725906,18.95524226,15.45549581,15.80893519,12.87993047,17.59741884,11.698534,11.06621417,9.036015311,9.405381044,11.15378699,17.28315575,12.20450188,8.924162568,10.4678152,8.969189702,9.216487132,9.654916096
Bermuda,BMU,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Bolivia,BOL,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,31.09622268,18.2844557,21.28073642,21.97114135,19.93217377,28.54477499,44.40762835,44.11316088,35.5300892,39.77986988,41.95160079,30.22904704,32.18152793,27.94839243,17.85309891,17.32305673,10.65860891,6.022331455,10.07567108,-1.559333693,5.110628203,3.163719152,15.1460393,1.041040717,-3.217178249,3.767191577,4.77002898,7.491198717,13.30880295
Brazil,BRA,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,65.40884498,77.61683799,67.0609171,48.50472818,45.63781872,48.34043745,46.44739884,43.77915272,44.63516886,41.24032645,35.02251547,35.3667578,34.79200963,29.11580552,32.83345951,26.58209053,18.49884442,22.40367244,33.83234397
Barbados,BRB,Real interest rate (%),-2.63,-0.661277886,3.212898421,5.798910952,6.005478356,6.808886214,4.392506287,1.31568767,6.500892202,2.895511442,7.412015518,7.580613714,11.18194813,3.537513467,6.72488138,8.893479767,7.276866409,8.835422975,0.962936975,4.751744844,11.66464362,7.166315766,7.52383813,7.302639709,2.367223972,2.342734993,5.779413937,2.141576349,8.234309847,11.07564135,4.702297239,5.012485239,9.319664091,5.635794208,7.798894862,10.26999493
